Time,Algae,Balanus_glandula,Chthamalus_dalli,Mytilus_trossulus,Nucella_canaliculata,Nucella_ostrina,Semibalanus_cariosus,Temperature,Day
8/19/2013 0:00,44,160265,1565,32,10,192,0,12.83,231
9/16/2013 0:00,25,70645,1173,318,1,94,1,15.04,259
11/5/2013 0:00,5,71333,734,2223,1,17,0,10.38,309
12/3/2013 0:00,0,70337,848,4457,3,31,0,7.99,337
1/29/2014 0:00,0,72743,1576,5473,5,15,2,9.51,29
2/26/2014 0:00,0,74553,2347,6036,1,5,5,10.75,57
4/1/2014 0:00,0,58149,4564,5589,54,28,30,10.16,91
4/29/2014 0:00,4,52231,2455,8869,173,144,35,11.86,119
5/27/2014 0:00,0,41338,1155,9865,218,436,6,11.96,147
6/24/2014 0:00,0,31489,592,10693,130,680,15,12.58,175
7/24/2014 0:00,0,63707,953,8433,211,690,20,14.36,205
9/7/2014 0:00,0,42682,699,8012,84,112,19,12.53,250
10/13/2014 0:00,0,42628,772,7179,87,72,11,13.4,286
11/4/2014 0:00,0,42610,1512,13042,207,113,20,14.57,308
12/4/2014 0:00,0,43101,2769,20722,117,67,98,13.12,338
1/18/2015 0:00,0,40013,2233,19895,23,62,72,12.46,18
2/17/2015 0:00,0,29715,3946,13713,23,145,87,11.55,48
3/17/2015 0:00,0,21933,5219,12239,32,364,106,12.19,76
4/19/2015 0:00,0,14404,3232,5934,47,1195,100,10.57,109
5/18/2015 0:00,0,13497,2226,2980,32,785,119,10.71,138
6/15/2015 0:00,0,12420,2196,1649,8,895,94,9.41,166
7/13/2015 0:00,0,13175,3127,1077,28,921,150,15.76,194
8/28/2015 0:00,0,28306,10112,449,30,158,168,15.01,240
9/29/2015 0:00,0,22640,11793,41,12,51,180,10.6,272
10/28/2015 0:00,0,20761,11013,26,8,30,365,13.9,301
11/24/2015 0:00,0,23092,19137,45,5,16,201,11.29,328
1/21/2016 0:00,0,17164,27578,5,12,49,143,11.2,21
2/8/2016 0:00,0,19469,24257,3,17,49,212,11.63,39
4/8/2016 0:00,0,12403,20901,700,38,275,116,11.89,99
5/6/2016 0:00,0,12145,19840,68,24,458,132,11.27,127
6/6/2016 0:00,0,15431,24795,546,36,441,113,12.56,158
7/4/2016 0:00,0,23922,25362,1,21,330,112,10.48,186
8/1/2016 0:00,0,51692,30283,12,23,275,117,9.27,214
8/29/2016 0:00,0,91016,24363,30,45,82,163,12.74,242
10/18/2016 0:00,0,82543,19246,4,17,32,92,13.07,292
